lambda [*] :=
   1 6.3073e-10     251 5.76018e-11    501 1              751 1
   2 6.43949e-11    252 6.64275e-10    502 1.14741e-10    752 1
   3 1              253 5.02554e-11    503 3.40763e-11    753 6.88618e-11
   4 8.91472e-11    254 5.72117e-10    504 1              754 1
   5 3.85994e-11    255 1              505 3.99986e-11    755 1
   6 3.94404e-11    256 1.15258e-10    506 1              756 9.31026e-11
   7 1              257 3.77591e-11    507 3.80806e-11    757 9.28906e-11
   8 1              258 6.20858e-11    508 3.15044e-09    758 1
   9 2.68585e-11    259 6.67941e-11    509 8.21398e-11    759 3.68893e-11
  10 5.50097e-11    260 1              510 6.5731e-11     760 1
  11 1              261 1              511 1              761 1
  12 1              262 1              512 2.49998e-10    762 1
  13 1.21099e-09    263 1.03097e-10    513 4.69043e-10    763 1.70732e-09
  14 1              264 3.9968e-11     514 4.7252e-11     764 4.07412e-11
  15 6.3795e-11     265 4.92663e-11    515 7.90356e-11    765 7.18173e-11
  16 1              266 1              516 1              766 8.39352e-11
  17 1              267 5.33973e-11    517 3.2111e-11     767 1.11403e-10
  18 1              268 1              518 3.0841e-10     768 1
  19 9.79224e-10    269 4.31936e-11    519 2.4011e-10     769 1
  20 7.62123e-11    270 1              520 1.62138e-10    770 9.6334e-11
  21 1              271 1.14279e-10    521 7.64895e-11    771 2.62914e-11
  22 7.46878e-11    272 6.77968e-11    522 1              772 1
  23 6.08487e-11    273 3.34516e-11    523 1              773 1
  24 6.77014e-10    274 2.54744e-10    524 1              774 1
  25 2.5431e-11     275 4.62123e-11    525 1              775 1
  26 1              276 4.99207e-11    526 1              776 4.56163e-11
  27 5.8634e-11     277 4.44449e-11    527 1              777 2.86356e-09
  28 6.43396e-11    278 1              528 2.4455e-11     778 5.63265e-11
  29 1.1917e-10     279 1              529 1              779 6.64105e-11
  30 5.44513e-11    280 3.15402e-10    530 5.36756e-11    780 1
  31 1.04e-10       281 1              531 5.5939e-11     781 1
  32 3.01715e-11    282 1              532 1              782 3.38487e-11
  33 1              283 1              533 2.48244e-11    783 5.51386e-11
  34 1.2145e-10     284 7.85679e-11    534 1              784 2.59547e-11
  35 1              285 1              535 1              785 1
  36 8.66907e-11    286 1              536 3.17004e-11    786 2.74268e-11
  37 1              287 5.20434e-11    537 1              787 1
  38 1              288 1              538 1              788 1
  39 1              289 7.05517e-11    539 1.16748e-10    789 1
  40 0.884246       290 3.00398e-11    540 1              790 6.69845e-11
  41 1              291 7.19527e-11    541 1              791 6.88597e-11
  42 1              292 5.04585e-11    542 6.91637e-10    792 9.72206e-11
  43 4.00828e-11    293 5.02051e-11    543 3.54664e-11    793 9.42128e-11
  44 6.30393e-11    294 1              544 1.04336e-10    794 3.69419e-11
  45 1.63267e-10    295 5.76335e-11    545 5.15814e-11    795 8.4775e-11
  46 9.36889e-11    296 3.14732e-10    546 1              796 4.20075e-11
  47 2.96427e-11    297 1.69554e-10    547 1              797 1
